label,area,eccentricity,solidity,equivalent_diameter,mean_intensity,perimeter
77,975.0,0.9608426100620665,0.7190265486725663,35.233628199729644,0.85679173,183.01219330881975
78,133.0,0.6487693787854764,0.9366197183098591,13.013103375051497,0.82502997,42.384776310850235
79,131.0,0.726864971352677,0.7485714285714286,12.914889870235298,0.7936688,53.17766952966369
80,123.0,0.7183242590290454,0.984,12.514330345744634,0.7663326,42.14213562373095
81,531.0,0.5523103237989582,0.9076923076923077,26.001734523957655,0.8321489,96.94112549695427
82,39.0,0.971955921475353,0.8863636363636364,7.046725639945928,0.83222973,28.242640687119284
83,20.0,0.9776265473273626,0.8695652173913043,5.046265044040321,0.77542794,17.621320343559642
84,20.0,0.9776265473273625,0.8695652173913043,5.046265044040321,0.79699373,17.621320343559642
85,130.0,0.45572640964886924,0.8496732026143791,12.865501965161373,0.7177397,46.520815280171306
86,172.0,0.5553323486859639,0.86,14.798554040663838,0.77109885,55.4558441227157
87,581.0,0.7658464975587618,0.8723723723723724,27.19838553096727,0.8426456,104.42640687119285
88,31.0,0.7862740438228212,0.96875,6.282549314314218,0.70396566,18.485281374238568
89,17.0,0.9658358903628802,0.85,4.652426491681278,0.7940653,14.414213562373096
90,11.0,0.8468413944019119,0.9166666666666666,3.742410318509555,0.67410713,9.035533905932738
91,603.0,0.6296391732859877,0.9220183486238532,27.70854462932514,0.7944932,97.9827560572969
92,609.0,0.7777945150099101,0.9354838709677419,27.846056861676377,0.8702009,104.25483399593904
93,62.0,0.7261631037396973,0.8732394366197183,8.884866446580956,0.83012027,30.692388155425117
94,54.0,0.9464508708896086,0.8181818181818182,8.291859587312052,0.83141315,32.69238815542512
95,17.0,0.9658358903628802,0.85,4.652426491681278,0.84177303,14.414213562373096
96,94.0,0.37307032046060523,0.8952380952380953,10.940041919714261,0.72818726,36.14213562373095
97,11.0,0.8029966139691335,1.0,3.742410318509555,0.6420026,10.242640687119284
98,30.0,0.9650461122405983,0.967741935483871,6.180387232371033,0.8181525,21.621320343559642
99,189.0,0.78179807115225,0.8362831858407079,15.512648837479231,0.7438257,60.87005768508881
100,67.0,0.5063395732522491,0.8072289156626506,9.23618154310838,0.80117905,31.313708498984763
101,146.0,0.9502689787525785,0.8588235294117647,13.63425735166143,0.77873296,59.31370849898476
102,57.0,0.5306008426132592,0.890625,8.51907589177983,0.7596204,27.899494936611664
103,13.0,0.9375978123483881,0.8666666666666667,4.068428945128219,0.7432735,10.414213562373096
104,226.0,0.43316683471533135,0.9300411522633745,16.96325844612841,0.83936656,58.48528137423857
105,24.0,0.9849097240019141,0.8571428571428571,5.527906391541368,0.80352324,21.621320343559642
106,173.0,0.5310848708851992,0.8871794871794871,14.841510746523857,0.815835,52.970562748477136
107,17.0,0.9646221497686943,0.8095238095238095,4.652426491681278,0.6668507,14.828427124746192
108,13.0,0.9375978123483882,0.8666666666666667,4.068428945128219,0.660923,10.414213562373096
109,15.0,0.955076820277326,0.8823529411764706,4.370193722368317,0.82304025,12.414213562373096
110,95.0,0.8254413706741927,0.8558558558558559,10.998079684646791,0.8083364,40.48528137423857
111,12.0,0.92158211354721,0.8571428571428571,3.9088200952233594,0.7459455,9.621320343559642
112,191.0,0.60688075793441,0.9138755980861244,15.594510349620345,0.7624584,53.798989873223334
113,55.0,0.8824828111591531,0.8088235294117647,8.368283871884005,0.7012969,30.106601717798213
114,1094.0,0.8089977680128901,0.9193277310924369,37.32189788770486,0.83351344,150.60407640085654
115,76.0,0.85886222058078,0.8636363636363636,9.83698151873187,0.7925188,35.69238815542512
116,183.0,0.780452962306191,0.905940594059406,15.26443044094783,0.8028285,53.72792206135785
117,38.0,0.743646474812794,0.8837209302325582,6.955796338302048,0.70388395,21.31370849898476
